Source,Year,Mean
GCAG,2016,156.03.00
GISTEMP,2016,1.39
GCAG,2015,149.58.00
GISTEMP,2015,1.27
GCAG,2014,123.28.00
GISTEMP,2014,1.14
GCAG,2013,111.19.00
GISTEMP,2013,1.05
GCAG,2012,104.00.00
GISTEMP,2012,1.03
GCAG,2011,96.28.00
GISTEMP,2011,0.6
GCAG,2010,116.54.00
GISTEMP,2010,1.11
GCAG,2009,106.07.00
GISTEMP,2009,1.04
GCAG,2008,90.19.00
GISTEMP,2008,0.54
GCAG,2007,101.40.00
GISTEMP,2007,1.06
GCAG,2006,102.05.00
GISTEMP,2006,1.03
GCAG,2005,109.45.00
GISTEMP,2005,1.09
GCAG,2004,96.23.00
GISTEMP,2004,0.55
GCAG,2003,102.14.00
GISTEMP,2003,1.02
GCAG,2002,100.23.00
GISTEMP,2002,1.03
GCAG,2001,91.13.00
GISTEMP,2001,0.55
GCAG,2000,71.02.00
GISTEMP,2000,0.42
GCAG,1999,73.58.00
GISTEMP,1999,0.42
GCAG,1998,105.44.00
GISTEMP,1998,1.04
GCAG,1997,86.27.00
GISTEMP,1997,0.48
GCAG,1996,53.48.00
GISTEMP,1996,0.35
GCAG,1995,76.17.00
GISTEMP,1995,0.46
GCAG,1994,56.49.00
GISTEMP,1994,0.32
GCAG,1993,47.33.00
GISTEMP,1993,0.24
GCAG,1992,42.51.00
GISTEMP,1992,0.23
GCAG,1991,67.35.00
GISTEMP,1991,0.43
GCAG,1990,72.08.00
GISTEMP,1990,0.44
GCAG,1989,49.30.00
GISTEMP,1989,0.29
GCAG,1988,62.37.00
GISTEMP,1988,0.41
GCAG,1987,61.36.00
GISTEMP,1987,0.33
GCAG,1986,38.16.00
GISTEMP,1986,0.19
GCAG,1985,22.22
GISTEMP,1985,0.12
GCAG,1984,24.50.00
GISTEMP,1984,0.15
GCAG,1983,56.51.00
GISTEMP,1983,0.3
GCAG,1982,30.15.00
GISTEMP,1982,0.13
GCAG,1981,49.59.00
GISTEMP,1981,0.33
GCAG,1980,43.57.00
GISTEMP,1980,0.27
GCAG,1979,37.53.00
GISTEMP,1979,0.17
GCAG,1978,18.43
GISTEMP,1978,0.07
GCAG,1977,32.58.00
GISTEMP,1977,0.18
GCAG,1976,-13.12.00
GISTEMP,1976,-0.11.00
GCAG,1975,0.34
GISTEMP,1975,-0.02.00
GCAG,1974,-11.59.00
GISTEMP,1974,-0.07.00
GCAG,1973,27.21.00
GISTEMP,1973,0.15
GCAG,1972,4.24
GISTEMP,1972,0.01
GCAG,1971,-13.03.00
GISTEMP,1971,-0.09.00
GCAG,1970,6.12
GISTEMP,1970,0.02
GCAG,1969,15.29
GISTEMP,1969,0.07
GCAG,1968,-4.56.00
GISTEMP,1968,-0.07.00
GCAG,1967,-2.11.00
GISTEMP,1967,-0.02.00
GCAG,1966,-3.47.00
GISTEMP,1966,-0.05.00
GCAG,1965,-13.00.00
GISTEMP,1965,-0.1
GCAG,1964,-24.55.00
GISTEMP,1964,-0.2
GCAG,1963,17.48
GISTEMP,1963,0.06
GCAG,1962,14.48
GISTEMP,1962,0.03
GCAG,1961,12.55
GISTEMP,1961,0.05
GCAG,1960,3.24
GISTEMP,1960,-0.02.00
GCAG,1959,9.56
GISTEMP,1959,0.03
GCAG,1958,18.15
GISTEMP,1958,0.07
GCAG,1957,8.08
GISTEMP,1957,0.04
GCAG,1956,-33.10.00
GISTEMP,1956,-0.2
GCAG,1955,-22.34.00
GISTEMP,1955,-0.15.00
GCAG,1954,-19.25.00
GISTEMP,1954,-0.13.00
GCAG,1953,15.52
GISTEMP,1953,0.08
GCAG,1952,4.08
GISTEMP,1952,0.01
GCAG,1951,-2.12.00
GISTEMP,1951,-0.07.00
